image_id,label
test_1000a,candy
test_1000b,vinegar
test_1000c,water
test_1000d,water
test_1001a,candy
test_1001b,juice
test_1001c,juice
test_1001d,honey
test_1002a,pasta
test_1002b,spices
test_1002c,honey
test_1002d,candy
test_1003a,milk
test_1003b,milk
test_1003c,jam
test_1003d,milk
test_1004a,soda
test_1004b,coffee
test_1004c,juice
test_1004d,fish
test_1005a,vinegar
test_1005b,cake
test_1005c,juice
test_1005d,candy
test_1006a,chocolate
test_1006b,tea
test_1006c,tomatosauce
test_1006d,vinegar
test_1007a,juice
test_1007b,water
test_1007c,chocolate
test_1007d,tomatosauce
test_1008a,soda
test_1008b,flour
test_1008c,cake
test_1008d,vinegar
test_1009a,water
test_1009b,vinegar
test_1009c,tea
test_1009d,honey
test_1010a,chocolate
test_1010b,soda
test_1010c,water
test_1010d,spices
test_1011a,beans
test_1011b,soda
test_1011c,tomatosauce
test_1011d,soda
test_1012a,candy
test_1012b,spices
test_1012c,tea
test_1012d,juice
test_1013a,candy
test_1013b,candy
test_1013c,jam
test_1013d,jam
test_1014a,candy
test_1014b,coffee
test_1014c,water
test_1014d,corn
test_1015a,pasta
test_1015b,soda
test_1015c,corn
test_1015d,cereal
test_1016a,juice
test_1016b,tomatosauce
test_1016c,tea
test_1016d,vinegar
test_1017a,rice
test_1017b,flour
test_1017c,coffee
test_1017d,tea
test_1018a,candy
test_1018b,chocolate
test_1018c,coffee
test_1018d,candy
test_1019a,milk
test_1019b,beans
test_1019c,tea
test_1019d,oil
test_1020a,water
test_1020b,cake
test_1020c,oil
test_1020d,cereal
test_1021a,vinegar
test_1021b,water
test_1021c,cereal
test_1021d,coffee
test_1022a,oil
test_1022b,juice
test_1022c,beans
test_1022d,pasta
test_1023a,tomatosauce
test_1023b,beans
test_1023c,cereal
test_1023d,water
test_1024a,spices
test_1024b,pasta
test_1024c,coffee
test_1024d,candy
test_1025a,candy
test_1025b,water
test_1025c,fish
test_1025d,fish
test_1026a,sugar
test_1026b,tea
test_1026c,honey
test_1026d,juice
test_1027a,cake
test_1027b,honey
test_1027c,tea
test_1027d,honey
test_1028a,tea
test_1028b,tea
test_1028c,nuts
test_1028d,milk
test_1029a,chocolate
test_1029b,water
test_1029c,soda
test_1029d,nuts
test_1030a,milk
test_1030b,water
test_1030c,cereal
test_1030d,jam
test_1031a,flour
test_1031b,oil
test_1031c,honey
test_1031d,coffee
test_1032a,water
test_1032b,vinegar
test_1032c,water
test_1032d,tea
test_1033a,juice
test_1033b,water
test_1033c,chocolate
test_1033d,sugar
test_1034a,vinegar
test_1034b,fish
test_1034c,soda
test_1034d,spices
test_1035a,juice
test_1035b,cake
test_1035c,chocolate
test_1035d,soda
test_1036a,chocolate
test_1036b,jam
test_1036c,vinegar
test_1036d,cereal
test_1037a,candy
test_1037b,water
test_1037c,juice
test_1037d,pasta
test_1038a,nuts
test_1038b,juice
test_1038c,rice
test_1038d,honey
test_1039a,tomatosauce
test_1039b,nuts
test_1039c,tea
test_1039d,candy
test_1040a,spices
test_1040b,cereal
test_1040c,soda
test_1040d,coffee
test_1041a,juice
test_1041b,milk
test_1041c,chocolate
test_1041d,nuts
test_1042a,beans
test_1042b,juice
test_1042c,cereal
test_1042d,cereal
test_1043a,milk
test_1043b,milk
test_1043c,juice
test_1043d,vinegar
test_1044a,water
test_1044b,cereal
test_1044c,spices
test_1044d,rice
test_1045a,coffee
test_1045b,chocolate
test_1045c,cereal
test_1045d,cake
test_1046a,chips
test_1046b,rice
test_1046c,coffee
test_1046d,soda
test_1047a,coffee
test_1047b,water
test_1047c,chips
test_1047d,tea
test_1048a,fish
test_1048b,chocolate
test_1048c,juice
test_1048d,nuts
test_1049a,milk
test_1049b,beans
test_1049c,water
test_1049d,coffee
test_1050a,rice
test_1050b,chocolate
test_1050c,coffee
test_1050d,chips
test_1051a,honey
test_1051b,chips
test_1051c,fish
test_1051d,honey
test_1052a,tomatosauce
test_1052b,corn
test_1052c,juice
test_1052d,cake
test_1053a,milk
test_1053b,soda
test_1053c,fish
test_1053d,tomatosauce
test_1054a,pasta
test_1054b,candy
